agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,45,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,46,100,acceptance_rate,0.27755717
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,46,100,accumulated_reward,4.97
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,46,100,available_budget,46.12
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,46,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,47,100,acceptance_rate,0.27725012
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,47,100,accumulated_reward,5.07
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,47,100,available_budget,46.05
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,47,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,48,100,acceptance_rate,0.27686201
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,48,100,accumulated_reward,5.15
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,48,100,available_budget,45.98
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,48,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,49,100,acceptance_rate,0.27544935
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,49,100,accumulated_reward,5.2
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,49,100,available_budget,45.93
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,49,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,50,100,acceptance_rate,0.2749441
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,50,100,accumulated_reward,5.3
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,50,100,available_budget,45.86
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,50,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,51,100,acceptance_rate,0.27479319
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,51,100,accumulated_reward,5.39
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,51,100,available_budget,45.78
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,51,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,52,100,acceptance_rate,0.27200469
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,52,100,accumulated_reward,5.44
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,52,100,available_budget,45.73
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,52,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,53,100,acceptance_rate,0.27120206
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,53,100,accumulated_reward,5.57
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,53,100,available_budget,45.64
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,53,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,54,100,acceptance_rate,0.2696053
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,54,100,accumulated_reward,5.63
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,54,100,available_budget,45.6
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,54,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,55,100,acceptance_rate,0.26823457
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,55,100,accumulated_reward,5.69
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,55,100,available_budget,45.54
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,55,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,56,100,acceptance_rate,0.27073903
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,56,100,accumulated_reward,5.82
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,56,100,available_budget,45.43
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,56,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,57,100,acceptance_rate,0.27199956000000003
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,57,100,accumulated_reward,5.96
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,57,100,available_budget,45.33
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,57,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,58,100,acceptance_rate,0.27097535
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,58,100,accumulated_reward,6.03
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,58,100,available_budget,45.27
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,58,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,59,100,acceptance_rate,0.26997094
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,59,100,accumulated_reward,6.07
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,59,100,available_budget,45.23
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,59,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,60,100,acceptance_rate,0.26987012
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,60,100,accumulated_reward,6.2
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,60,100,available_budget,45.14
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,60,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,61,100,acceptance_rate,0.26786506
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,61,100,accumulated_reward,6.25
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,61,100,available_budget,45.11
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,61,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,62,100,acceptance_rate,0.26756408
